,Borough,Neighborhood,Population
147,Queens,Kew Gardens Hills,37479
148,Queens,Utopia,17812
149,Queens,Kew Gardens,23278
150,Queens,Richmond Hill,62982
151,Queens,Woodhaven,56674
152,Queens,Howard Beach,26148
153,Queens,Lindenwood,26148
154,Queens,Richmond Hill,62982
155,Queens,South Ozone Park,75878
156,Queens,Bayside,43808
157,Queens,Douglaston,17823
158,Queens,East Flushing,10000
159,Queens,Hollis Hills,52504
160,Queens,Little Neck,17823
161,Queens,Oakland Gardens,43808
162,Queens,Baisley Park,32496
163,Queens,Hollis,20269
164,Queens,South Jamaica,32496
165,Queens,Springfield Gardens,39827
166,Queens,Brookville,39827
167,Queens,Cambria Heights,18677
168,Queens,Floral Park,15863
169,Queens,Glen Oaks,29506
170,Queens,Laurelton,24453
171,Queens,Meadowmere,60
172,Queens,New Hyde Park,9712
173,Queens,Queens Village,52504
174,Queens,Rosedale,25063
175,Queens,Arverne,18540
176,Queens,Breezy Point,4079
177,Queens,Far Rockaway,60035
178,Queens,Neponsit,2000
179,Staten,New Brighton,5795
180,Staten,Port Richmond,18516
181,Staten,St. George,8662
182,Staten,Stapleton,37669
183,Staten,West Brighton,20099
184,Staten,Dongan Hills,16375
185,Staten,Midland Beach,21456
186,Staten,New Dorp,28225
187,Staten,Ocean Breeze,8575
188,Staten,South Beach,8575
189,Staten,Great Kills,40720
190,Staten,Tottenville,14945
